"Year","Province","Normalization","Measure","Value"
1974,"National Average","Per Capita ($)","Adjusted Balance",-5.55076440549317e-14
1974,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-3.70050960366211e-13
1974,"National Average","Real Total ($ M 2020)","Adjusted Balance",-6.53699316899292e-12
1974,"National Average","Share of GDP (%)","Adjusted Balance",-6.05343370876671e-18
1974,"National Average","Total ($ M)","Adjusted Balance",-1.03739239420975e-12
1975,"National Average","Per Capita ($)","Adjusted Balance",8.04832137729408e-14
1975,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",3.31993256813381e-13
1975,"National Average","Real Total ($ M 2020)","Adjusted Balance",6.48014975013211e-12
1975,"National Average","Share of GDP (%)","Adjusted Balance",8.46160732353363e-18
1975,"National Average","Total ($ M)","Adjusted Balance",1.4495071809506e-12
1976,"National Average","Per Capita ($)","Adjusted Balance",1.24111167378145e-14
1976,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",3.47511268658807e-14
1976,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.27373675443232e-12
1976,"National Average","Share of GDP (%)","Adjusted Balance",5.74419641270115e-19
1976,"National Average","Total ($ M)","Adjusted Balance",3.41060513164848e-13
1977,"National Average","Per Capita ($)","Adjusted Balance",7.60536722896417e-14
1977,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",4.41601968133403e-13
1977,"National Average","Real Total ($ M 2020)","Adjusted Balance",8.18545231595635e-12
1977,"National Average","Share of GDP (%)","Adjusted Balance",9.31588302437381e-18
1977,"National Average","Total ($ M)","Adjusted Balance",2.24531504500192e-12
1978,"National Average","Per Capita ($)","Adjusted Balance",7.77293898996289e-14
1978,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",1.94323474749072e-13
1978,"National Average","Real Total ($ M 2020)","Adjusted Balance",4.77484718430787e-12
1978,"National Average","Share of GDP (%)","Adjusted Balance",8.00283330890593e-18
1978,"National Average","Total ($ M)","Adjusted Balance",1.70530256582424e-12
1979,"National Average","Per Capita ($)","Adjusted Balance",2.95829980614315e-13
1979,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",1.17369943528281e-12
1979,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.77395884040743e-11
1979,"National Average","Share of GDP (%)","Adjusted Balance",2.65554192670326e-17
1979,"National Average","Total ($ M)","Adjusted Balance",7.33280103304423e-12
1980,"National Average","Per Capita ($)","Adjusted Balance",-1.10924542999424e-13
1980,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.93060642732108e-13
1980,"National Average","Real Total ($ M 2020)","Adjusted Balance",-1.25410792861658e-11
1980,"National Average","Share of GDP (%)","Adjusted Balance",-1.03192519829535e-17
1980,"National Average","Total ($ M)","Adjusted Balance",-3.19566595408105e-12
1981,"National Average","Per Capita ($)","Adjusted Balance",-3.77577175710241e-13
1981,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.02250713422152e-12
1981,"National Average","Real Total ($ M 2020)","Adjusted Balance",-2.96722646453418e-11
1981,"National Average","Share of GDP (%)","Adjusted Balance",-2.40953571607142e-17
1981,"National Average","Total ($ M)","Adjusted Balance",-9.54969436861575e-12
1982,"National Average","Per Capita ($)","Adjusted Balance",2.07413213430016e-13
1982,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",5.02890137590095e-13
1982,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.3017142919125e-11
1982,"National Average","Share of GDP (%)","Adjusted Balance",1.34118596656144e-17
1982,"National Average","Total ($ M)","Adjusted Balance",5.42854650120717e-12
1983,"National Average","Per Capita ($)","Adjusted Balance",-1.51448289722865e-13
1983,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.97341710851005e-13
1983,"National Average","Real Total ($ M 2020)","Adjusted Balance",-9.77706804405898e-12
1983,"National Average","Share of GDP (%)","Adjusted Balance",-9.99366368826393e-18
1983,"National Average","Total ($ M)","Adjusted Balance",-4.14956957683899e-12
1984,"National Average","Per Capita ($)","Adjusted Balance",2.45495933431093e-13
1984,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",7.3648780029328e-13
1984,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.31876731757075e-11
1984,"National Average","Share of GDP (%)","Adjusted Balance",1.35475482776012e-17
1984,"National Average","Total ($ M)","Adjusted Balance",6.25277607468888e-12
1985,"National Average","Per Capita ($)","Adjusted Balance",2.3791334208023e-13
1985,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",6.43069909244078e-13
1985,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.39834810397588e-11
1985,"National Average","Share of GDP (%)","Adjusted Balance",1.32725308814001e-17
1985,"National Average","Total ($ M)","Adjusted Balance",6.28830321147689e-12
1986,"National Average","Per Capita ($)","Adjusted Balance",2.29705946966816e-13
1986,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",5.10705454906804e-13
1986,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.01749719760846e-11
1986,"National Average","Share of GDP (%)","Adjusted Balance",9.671934654694e-18
1986,"National Average","Total ($ M)","Adjusted Balance",5.03064256918151e-12
1987,"National Average","Per Capita ($)","Adjusted Balance",7.29890224850771e-13
1987,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",1.64631100848361e-12
1987,"National Average","Real Total ($ M 2020)","Adjusted Balance",4.19788648287067e-11
1987,"National Average","Share of GDP (%)","Adjusted Balance",3.38514114129386e-17
1987,"National Average","Total ($ M)","Adjusted Balance",1.95328198060452e-11
1988,"National Average","Per Capita ($)","Adjusted Balance",3.61737349269994e-13
1988,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",6.77850168001431e-13
1988,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.34763319895137e-11
1988,"National Average","Share of GDP (%)","Adjusted Balance",1.50921934209288e-17
1988,"National Average","Total ($ M)","Adjusted Balance",9.45021838560933e-12
1989,"National Average","Per Capita ($)","Adjusted Balance",-3.11558702376437e-13
1989,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-7.68226937366556e-13
1989,"National Average","Real Total ($ M 2020)","Adjusted Balance",-1.9554136088118e-11
1989,"National Average","Share of GDP (%)","Adjusted Balance",-1.37275516841493e-17
1989,"National Average","Total ($ M)","Adjusted Balance",-9.2086338554509e-12
1990,"National Average","Per Capita ($)","Adjusted Balance",3.78365777687581e-14
1990,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",1.42938182681975e-13
1990,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.27373675443232e-12
1990,"National Average","Share of GDP (%)","Adjusted Balance",1.63670263013603e-19
1990,"National Average","Total ($ M)","Adjusted Balance",3.41060513164848e-13
1991,"National Average","Per Capita ($)","Adjusted Balance",-3.73692692281392e-13
1991,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-7.05863974309295e-13
1991,"National Average","Real Total ($ M 2020)","Adjusted Balance",-1.70530256582424e-11
1991,"National Average","Share of GDP (%)","Adjusted Balance",-1.42755000192665e-17
1991,"National Average","Total ($ M)","Adjusted Balance",-9.54969436861575e-12
1992,"National Average","Per Capita ($)","Adjusted Balance",2.46196972740308e-13
1992,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",3.52882327594442e-13
1992,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.40971678774804e-11
1992,"National Average","Share of GDP (%)","Adjusted Balance",1.02971324825436e-17
1992,"National Average","Total ($ M)","Adjusted Balance",7.38964445190504e-12
1993,"National Average","Per Capita ($)","Adjusted Balance",-1.54220624908175e-13
1993,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-3.44967187294602e-13
1993,"National Average","Real Total ($ M 2020)","Adjusted Balance",-5.00222085975111e-12
1993,"National Average","Share of GDP (%)","Adjusted Balance",-4.26460814303451e-18
1993,"National Average","Total ($ M)","Adjusted Balance",-3.41060513164848e-12
1994,"National Average","Per Capita ($)","Adjusted Balance",4.01422966871257e-14
1994,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",2.40853780122754e-14
1994,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.8421709430404e-12
1994,"National Average","Share of GDP (%)","Adjusted Balance",4.02174522738991e-18
1994,"National Average","Total ($ M)","Adjusted Balance",1.36424205265939e-12
1995,"National Average","Per Capita ($)","Adjusted Balance",-2.46320160661388e-13
1995,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-5.2045066204261e-13
1995,"National Average","Real Total ($ M 2020)","Adjusted Balance",-1.20508047984913e-11
1995,"National Average","Share of GDP (%)","Adjusted Balance",-9.30091300056413e-18
1995,"National Average","Total ($ M)","Adjusted Balance",-7.27595761418343e-12
1996,"National Average","Per Capita ($)","Adjusted Balance",3.81364507928063e-13
1996,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",5.38628222537574e-13
1996,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.62572177941911e-11
1996,"National Average","Share of GDP (%)","Adjusted Balance",1.3360682103388e-17
1996,"National Average","Total ($ M)","Adjusted Balance",1.10276232589968e-11
1997,"National Average","Per Capita ($)","Adjusted Balance",1.79064873784941e-13
1997,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",4.59340328404848e-13
1997,"National Average","Real Total ($ M 2020)","Adjusted Balance",9.54969436861575e-12
1997,"National Average","Share of GDP (%)","Adjusted Balance",6.27075118295482e-18
1997,"National Average","Total ($ M)","Adjusted Balance",6.13908923696727e-12
1998,"National Average","Per Capita ($)","Adjusted Balance",-8.45458770211623e-13
1998,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.1890470375579e-12
1998,"National Average","Real Total ($ M 2020)","Adjusted Balance",-4.32009983342141e-11
1998,"National Average","Share of GDP (%)","Adjusted Balance",-2.8418293188776e-17
1998,"National Average","Total ($ M)","Adjusted Balance",-2.67164068645798e-11
1999,"National Average","Per Capita ($)","Adjusted Balance",-8.00321481855385e-13
1999,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.30961697030881e-12
1999,"National Average","Real Total ($ M 2020)","Adjusted Balance",-4.52473614132032e-11
1999,"National Average","Share of GDP (%)","Adjusted Balance",NA
1999,"National Average","Total ($ M)","Adjusted Balance",-2.5465851649642e-11
2000,"National Average","Per Capita ($)","Adjusted Balance",6.7529523609816e-13
2000,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",1.0812311364493e-12
2000,"National Average","Real Total ($ M 2020)","Adjusted Balance",3.58113538823090e-11
2000,"National Average","Share of GDP (%)","Adjusted Balance",NA
2000,"National Average","Total ($ M)","Adjusted Balance",2.1600499167107e-11
2001,"National Average","Per Capita ($)","Adjusted Balance",-1.12584078142152e-14
2001,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.20089683351629e-13
2001,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.72848410531878e-12
2001,"National Average","Share of GDP (%)","Adjusted Balance",NA
2001,"National Average","Total ($ M)","Adjusted Balance",1.13686837721616e-12
2002,"National Average","Per Capita ($)","Adjusted Balance",3.2713885178665e-13
2002,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",6.05090869120271e-13
2002,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.4210854715202e-11
2002,"National Average","Share of GDP (%)","Adjusted Balance",NA
2002,"National Average","Total ($ M)","Adjusted Balance",8.65441052155802e-12
2003,"National Average","Per Capita ($)","Adjusted Balance",-4.78257440471912e-14
2003,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-1.69229555859292e-13
2003,"National Average","Real Total ($ M 2020)","Adjusted Balance",-4.54747350886464e-13
2003,"National Average","Share of GDP (%)","Adjusted Balance",NA
2003,"National Average","Total ($ M)","Adjusted Balance",-7.95807864051312e-13
2004,"National Average","Per Capita ($)","Adjusted Balance",-6.08671260658184e-13
2004,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-9.14829260031162e-13
2004,"National Average","Real Total ($ M 2020)","Adjusted Balance",-3.09228198602796e-11
2004,"National Average","Share of GDP (%)","Adjusted Balance",NA
2004,"National Average","Total ($ M)","Adjusted Balance",-2.03499439521693e-11
2005,"National Average","Per Capita ($)","Adjusted Balance",3.06890527144575e-13
2005,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",4.26036261212468e-13
2005,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.47792889038101e-11
2005,"National Average","Share of GDP (%)","Adjusted Balance",NA
2005,"National Average","Total ($ M)","Adjusted Balance",1.02318153949454e-11
2006,"National Average","Per Capita ($)","Adjusted Balance",-7.14836510510397e-15
2006,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-5.71869208408317e-14
2006,"National Average","Real Total ($ M 2020)","Adjusted Balance",-2.27373675443232e-12
2006,"National Average","Share of GDP (%)","Adjusted Balance",NA
2006,"National Average","Total ($ M)","Adjusted Balance",5.6843418860808e-13
2007,"National Average","Per Capita ($)","Adjusted Balance",-4.92010016531166e-13
2007,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-7.29165923780002e-13
2007,"National Average","Real Total ($ M 2020)","Adjusted Balance",-2.34194885706529e-11
2007,"National Average","Share of GDP (%)","Adjusted Balance",NA
2007,"National Average","Total ($ M)","Adjusted Balance",-1.77351466845721e-11
2008,"National Average","Per Capita ($)","Adjusted Balance",4.97215298463606e-13
2008,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",5.53239557445421e-13
2008,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.09183781407773e-11
2008,"National Average","Share of GDP (%)","Adjusted Balance",NA
2008,"National Average","Total ($ M)","Adjusted Balance",1.58024704433046e-11
2009,"National Average","Per Capita ($)","Adjusted Balance",4.44836764775088e-13
2009,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",6.10136029506687e-13
2009,"National Average","Real Total ($ M 2020)","Adjusted Balance",2.42152964347042e-11
2009,"National Average","Share of GDP (%)","Adjusted Balance",NA
2009,"National Average","Total ($ M)","Adjusted Balance",1.7308821043116e-11
2010,"National Average","Per Capita ($)","Adjusted Balance",-6.82985811377696e-13
2010,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-9.53441345707711e-13
2010,"National Average","Real Total ($ M 2020)","Adjusted Balance",-2.99564817396458e-11
2010,"National Average","Share of GDP (%)","Adjusted Balance",NA
2010,"National Average","Total ($ M)","Adjusted Balance",-2.19984030991327e-11
2011,"National Average","Per Capita ($)","Adjusted Balance",3.52575142705216e-13
2011,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",6.03445917322389e-13
2011,"National Average","Real Total ($ M 2020)","Adjusted Balance",1.77351466845721e-11
2011,"National Average","Share of GDP (%)","Adjusted Balance",NA
2011,"National Average","Total ($ M)","Adjusted Balance",1.09139364212751e-11
2012,"National Average","Per Capita ($)","Adjusted Balance",-5.56686634753652e-13
2012,"National Average","Real Per Capita ($ 2020)","Adjusted Balance",-8.2496935029758e-13
2012,"National Average","Real Total ($ M 2020)","Adjusted Balance",-2.59205990005285e-11
2012,"National Average","Share of GDP (%)","Adjusted Balance",NA
2012,"National Average","Total ($ M)","Adjusted Balance",-2.00088834390044e-11
2013,"National Average","Per Capita ($)","Adjusted Balance",-1.36049780611528e-12
